user_id,name,connect_ms,response_ms,total_ms,status,court,slot
1,StressUser1,,,1780.8009999862406,error: InvalidStatus,,
5,StressUser5,1549.694300018018,5167.749399988679,7013.865800021449,no_response,Court 3,6:00 PM
2,StressUser2,1804.590100015048,5011.804399982793,7199.095199990552,no_response,Court 3,5:00 PM
4,StressUser4,1802.7030999946874,5000.908899994101,7191.830199997639,no_response,Court 3,1:00 PM
3,StressUser3,,,10022.254200011957,error: TimeoutError,,
8,StressUser8,1520.1718999887817,234.13599998457357,2053.066399996169,no_response,Court 2,1:00 PM
1,StressUser1,1634.831600007601,263.40880000498146,2282.255300000543,no_response,Court 3,9:00 AM
3,StressUser3,1362.2231999761425,5282.167900004424,6927.653199993074,no_response,Court 4,4:00 PM
2,StressUser2,1901.4139999926556,5023.235700005898,7314.083500008564,no_response,Court 3,4:00 PM
6,StressUser6,1854.9658000119962,5065.551300009247,7318.173600011505,no_response,Court 2,6:00 PM
7,StressUser7,1862.294499995187,5051.178599998821,7313.699099991936,no_response,Court 4,2:00 PM
5,StressUser5,1864.632899989374,5056.869600026403,7321.9838999793865,no_response,Court 1,8:00 AM
9,StressUser9,3847.3234999983106,5000.20510001923,9075.046599988127,no_response,Court 2,8:00 AM
10,StressUser10,3310.252199997194,5710.445100005018,9900.459199998295,no_response,Court 1,9:00 AM
4,StressUser4,,,10009.310399997048,error: TimeoutError,,
5,StressUser5,2258.7963999831118,242.79889999888837,2810.364099976141,no_response,Court 4,4:00 PM
13,StressUser13,2300.6380000151694,208.65029998822138,2818.698700022651,no_response,Court 3,8:00 AM
19,StressUser19,2266.023200005293,233.12129999976605,2813.237399997888,no_response,Court 1,10:00 AM
17,StressUser17,2574.3269000086,36.65229998296127,3035.8842000132427,no_response,Court 4,11:00 AM
11,StressUser11,2636.231400014367,48.51839999901131,3085.9551000175998,no_response,Court 3,6:00 PM
4,StressUser4,2642.873000004329,46.063799993135035,3092.706099996576,no_response,Court 4,5:00 PM
3,StressUser3,2558.37790001533,85.1801999961026,3109.8135999927763,no_response,Court 3,8:00 AM
8,StressUser8,2583.1348999927286,55.96900000819005,3136.716900015017,no_response,Court 4,5:00 PM
12,StressUser12,2569.524199992884,44.97550000087358,3128.2681000011507,no_response,Court 1,3:00 PM
1,StressUser1,2645.499700010987,42.92619999614544,3226.6018000082113,no_response,Court 1,2:00 PM
18,StressUser18,2588.217699987581,58.74379997840151,3212.045799999032,no_response,Court 1,5:00 PM
16,StressUser16,2651.995199994417,206.60460001090541,3245.1169999840204,success,Court 2,2:00 PM
2,StressUser2,2644.562700006645,254.16310000582598,3292.266100004781,success,Court 1,2:00 PM
15,StressUser15,2676.038500008872,193.50370002212003,3266.94570001564,success,Court 1,2:00 PM
9,StressUser9,2697.0355000230484,204.60140000795946,3305.564299982507,success,Court 3,3:00 PM
7,StressUser7,2705.025899980683,197.15379999252036,3310.953200008953,success,Court 1,5:00 PM
10,StressUser10,2115.9527999989223,5223.581800004467,7622.34279999393,no_response,Court 1,2:00 PM
6,StressUser6,,,10004.457300005015,error: TimeoutError,,
14,StressUser14,,,10012.551799998619,error: TimeoutError,,
20,StressUser20,,,10005.926200014073,error: TimeoutError,,
