user_id,name,connect_ms,response_ms,total_ms,status,court,slot
4,StressUser4,2140.500900000916,,2175.2793000050588,error: ConnectionClosedError,Court 4,6:00 PM
3,StressUser3,2147.4384000030113,,2177.8666000027442,error: ConnectionClosedError,Court 1,10:00 AM
5,StressUser5,2146.0703000047943,,2176.5808000054676,error: ConnectionClosedError,Court 2,5:00 PM
2,StressUser2,2159.609599999385,,2189.602400001604,error: ConnectionClosedError,Court 1,8:00 AM
1,StressUser1,2298.8836000004085,,2330.4073000035714,error: ConnectionClosedError,Court 4,9:00 AM
1,StressUser1,2034.992200002307,6.283900002017617,2061.5248999965843,no_response,Court 2,10:00 AM
2,StressUser2,2037.7057000005152,4.615300000295974,2071.2673000089126,no_response,Court 2,3:00 PM
6,StressUser6,2044.7017999977106,2.0392000005813316,2072.388900007354,success,Court 1,3:00 PM
3,StressUser3,2045.2997999964282,1.0612000041874126,2075.057199996081,no_response,Court 3,4:00 PM
5,StressUser5,2044.6322999923723,,2075.502799998503,error: ConnectionClosedError,Court 3,6:00 PM
4,StressUser4,2045.5416000040714,,2087.3907999921357,error: ConnectionClosedError,Court 4,2:00 PM
7,StressUser7,2055.9169000043767,,2095.7657000108156,error: ConnectionClosedError,Court 4,2:00 PM
8,StressUser8,2065.419999998994,,2095.231400002376,error: ConnectionClosedError,Court 3,4:00 PM
9,StressUser9,2071.7488000082085,,2101.3911999907577,error: ConnectionClosedError,Court 1,9:00 AM
10,StressUser10,2081.5930999960983,,2100.758800006588,error: ConnectionClosedError,Court 1,5:00 PM
4,StressUser4,2085.8551999990596,19.76289998856373,2179.191700008232,no_response,Court 3,8:00 AM
2,StressUser2,2088.2470999931684,20.65710000169929,2180.646099994192,no_response,Court 3,8:00 AM
6,StressUser6,2105.955899998662,16.578900002059527,2178.2973000081256,success,Court 3,10:00 AM
7,StressUser7,2108.677099997294,16.088300006231293,2177.2265000035986,success,Court 2,1:00 PM
8,StressUser8,2109.328499995172,15.781699999934062,2176.6363000060664,success,Court 1,10:00 AM
9,StressUser9,2109.7944999928586,1.7731999978423119,2176.014099997701,no_response,Court 2,1:00 PM
1,StressUser1,2076.3245999987703,48.37260000931565,2181.5635000093607,no_response,Court 1,10:00 AM
3,StressUser3,2104.768499993952,1.4016999921295792,2204.329400003189,no_response,Court 1,6:00 PM
11,StressUser11,2131.162999998196,1.8251000001328066,2199.2333000089275,no_response,Court 4,4:00 PM
12,StressUser12,2131.733799993526,1.226599997607991,2198.601800002507,no_response,Court 4,1:00 PM
13,StressUser13,2132.3852999921655,0.7257999968715012,2198.4889000013936,no_response,Court 1,9:00 AM
14,StressUser14,2132.195500002126,0.9666999976616353,2198.426400005701,no_response,Court 1,8:00 AM
15,StressUser15,2132.3298000061186,0.7400000031339005,2198.17360000161,no_response,Court 3,1:00 PM
16,StressUser16,2132.6387000008253,0.45760000648442656,2198.1896000070265,no_response,Court 3,2:00 PM
17,StressUser17,2134.0689999924507,1.283199992030859,2197.5527000031434,no_response,Court 1,9:00 AM
5,StressUser5,2105.251100001624,16.767599998274818,12163.233500003116,success,Court 4,4:00 PM
18,StressUser18,2133.508899991284,1.433600002201274,12152.69650000846,no_response,Court 3,10:00 AM
19,StressUser19,2133.4266000048956,0.7920000061858445,12151.49879999808,no_response,Court 2,6:00 PM
20,StressUser20,2133.3261999971,4.010699994978495,12181.813899995177,no_response,Court 4,5:00 PM
10,StressUser10,2130.772300006356,0.7536000048276037,12190.769600012572,no_response,Court 1,3:00 PM
